order_id_PK,OrderID,OrderDate,CustomerID,ProductID,ProductName
1,CA-2017-152156,8/11/2017,12520,10001798,Bush Somerset Collection Bookcase
2,CA-2017-152156,8/11/2017,12520,10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
3,CA-2017-138688,12/6/2017,13045,10000240,Self-Adhesive Address Labels for Typewriters by Universal
4,US-2016-108966,11/10/2016,20335,10000577,Bretford CR4500 Series Slim Rectangular Table
5,US-2016-108966,11/10/2016,20335,10000760,Eldon Fold 'N Roll Cart System
6,CA-2015-115812,9/6/2015,11710,10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
7,CA-2015-115812,9/6/2015,11710,10002833,Newell 322
8,CA-2015-115812,9/6/2015,11710,10002275,Mitel 5320 IP Phone VoIP phone
9,CA-2015-115812,9/6/2015,11710,10003910,DXL Angle-View Binders with Locking Rings by Samsill
10,CA-2015-115812,9/6/2015,11710,10002892,Belkin F5C206VTEL 6 Outlet Surge
11,CA-2015-115812,9/6/2015,11710,10001539,Chromcraft Rectangular Conference Tables
12,CA-2015-115812,9/6/2015,11710,10002033,Konftel 250 Conference phone - Charcoal black
13,CA-2018-114412,15/4/2018,10480,10002365,Xerox 1967
14,CA-2017-161389,5/12/2017,15070,10003656,Fellowes PB200 Plastic Comb Binding Machine
15,US-2016-118983,22/11/2016,14815,10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
16,US-2016-118983,22/11/2016,14815,10000756,Storex DuraTech Recycled Plastic Frosted Binders
17,CA-2015-105893,11/11/2015,19075,10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
18,CA-2015-167164,13/5/2015,10270,10000107,Fellowes Super Stor/Drawer
19,CA-2015-143336,27/8/2015,21925,10003056,Newell 341
20,CA-2015-143336,27/8/2015,21925,10001949,Cisco SPA 501G IP Phone
21,CA-2015-143336,27/8/2015,21925,10002215,"Wilson Jones Hanging View Binder, White, 1"""
22,CA-2017-137330,9/12/2017,16585,10000246,Newell 318
23,CA-2017-137330,9/12/2017,16585,10001492,"Acco Six-Outlet Power Strip, 4' Cord Length"
24,US-2018-156909,16/7/2018,20065,10002774,"Global Deluxe Stacking Chair, Gray"
25,CA-2016-106320,25/9/2016,13870,10000577,Bretford CR4500 Series Slim Rectangular Table
26,CA-2017-121755,16/1/2017,13945,10001634,Wilson Jones Active Use Binders
27,CA-2017-121755,16/1/2017,13945,10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
28,US-2016-150630,17/9/2016,21520,10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
29,US-2016-150630,17/9/2016,21520,10000474,Avery Recycled Flexi-View Covers for Binding Systems
30,US-2016-150630,17/9/2016,21520,10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
31,US-2016-150630,17/9/2016,21520,10001509,Poly String Tie Envelopes
32,US-2016-150630,17/9/2016,21520,10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
33,US-2016-150630,17/9/2016,21520,10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
34,US-2016-150630,17/9/2016,21520,10001683,Lumber Crayons
35,CA-2018-107727,19/10/2018,17560,10000249,Easy-staple paper
36,CA-2017-117590,8/12/2017,14485,10004977,GE 30524EE4
37,CA-2017-117590,8/12/2017,14485,10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
38,CA-2016-117415,27/12/2016,20710,10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
39,CA-2016-117415,27/12/2016,20710,10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
40,CA-2016-117415,27/12/2016,20710,10004218,"Global Fabric Manager's Chair, Dark Gray"
41,CA-2016-117415,27/12/2016,20710,10000486,Plantronics HL10 Handset Lifter
42,CA-2018-120999,10/9/2018,16930,10004093,Panasonic Kx-TS550
43,CA-2017-101343,17/7/2017,19885,10003479,"Eldon Base for stackable storage shelf, platinum"
44,CA-2018-139619,19/9/2018,14080,10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
45,CA-2017-118255,11/3/2017,18715,10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
46,CA-2017-118255,11/3/2017,18715,10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings
47,CA-2015-146703,20/10/2015,18865,10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
48,CA-2017-169194,20/6/2017,16900,10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
49,CA-2017-169194,20/6/2017,16900,10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
50,CA-2016-115742,18/4/2016,13000,10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
51,CA-2016-115742,18/4/2016,13000,10002762,Avery 485
52,CA-2016-115742,18/4/2016,13000,10001706,Longer-Life Soft White Bulbs
53,CA-2016-115742,18/4/2016,13000,10003061,"Global Leather Task Chair, Black"
54,CA-2017-105816,11/12/2017,15265,10000304,Advantus Push Pins
55,CA-2017-105816,11/12/2017,15265,10002447,AT&T CL83451 4-Handset Telephone
56,CA-2017-111682,17/6/2017,21055,10000604,Home/Office Personal File Carts
57,CA-2017-111682,17/6/2017,21055,10001569,Xerox 232
58,CA-2017-111682,17/6/2017,21055,10003968,Novimex Turbo Task Chair
59,CA-2017-111682,17/6/2017,21055,10000587,"Array Parchment Paper, Assorted Colors"
60,CA-2017-111682,17/6/2017,21055,10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
61,CA-2017-111682,17/6/2017,21055,10001460,Plastic Binding Combs
62,CA-2017-111682,17/6/2017,21055,10001868,Prang Dustless Chalk Sticks
63,CA-2016-135545,24/11/2016,16720,10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
64,CA-2016-135545,24/11/2016,16720,10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
65,CA-2016-135545,24/11/2016,16720,10003892,Xerox 1943
66,CA-2016-135545,24/11/2016,16720,10000397,Luxo Economy Swing Arm Lamp
67,US-2016-164175,30/4/2016,18970,10001146,"Global Value Mid-Back Manager's Chair, Gray"
68,CA-2015-106376,5/12/2015,11590,10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
69,CA-2015-106376,5/12/2015,11590,10002726,netTALK DUO VoIP Telephone Service
