order_detail_id;order_id_FK;ProductID;Quantity
1;1;10001798;10
2;2;10000454;17
3;3;10000240;14
4;4;10000577;1
5;5;10000760;16
6;6;10001487;12
7;7;10002833;1
8;8;10002275;4
9;9;10003910;13
10;10;10002892;19
11;11;10001539;1
12;12;10002033;1
13;13;10002365;11
14;14;10003656;9
15;15;10002311;13
16;16;10000756;12
17;17;10004186;6
18;18;10000107;15
19;19;10003056;11
20;20;10001949;10
21;21;10002215;9
22;22;10000246;20
23;23;10001492;8
24;24;10002774;5
25;25;10000577;12
26;26;10001634;3
27;27;10003027;16
28;28;10004834;14
29;29;10000474;6
30;30;10004848;20
31;31;10001509;14
32;32;10004042;20
33;33;10001525;13
34;34;10001683;11
35;35;10000249;15
36;36;10004977;18
37;37;10003664;9
38;38;10002986;14
39;39;10002545;13
40;40;10004218;9
41;41;10000486;18
42;42;10004093;4
43;43;10003479;19
44;44;10003282;16
45;45;10000171;11
46;46;10003291;1
47;47;10001713;6
48;48;10002167;12
49;49;10003988;17
50;50;10004410;5
51;51;10002762;12
52;52;10001706;20
53;53;10003061;16
54;54;10000304;12
55;55;10002447;1
56;56;10000604;13
57;57;10001569;16
58;58;10003968;19
59;59;10000587;16
60;60;10002167;5
61;61;10001460;7
62;62;10001868;5
63;63;10004633;18
64;64;10001078;17
65;65;10003892;1
66;66;10000397;6
67;67;10001146;14
68;68;10002671;8
69;69;10002726;6
70;70;10000482;7
71;71;10004654;15
72;72;10004675;19
73;73;10000513;8
74;74;10003708;17
75;75;10004123;5
76;76;10004182;17
77;77;10000260;8
78;78;10000615;12
79;79;10003194;19
80;80;10002118;4
81;81;10002309;3
82;82;10002053;6
83;83;10002370;9
84;84;10000927;12
85;85;10003656;4
86;86;10000863;2
87;87;10001998;10
88;88;10000134;8
89;89;10003442;1
90;90;10004930;10
91;91;10004093;8
92;92;10000304;9
93;93;10003177;4
94;94;10003799;6
95;95;10002852;2
96;96;10004738;19
97;97;10000629;12
98;98;10001721;20
99;99;10000358;4
100;100;10003256;3
101;101;10001767;3
102;102;10002609;9
103;103;10004040;7
104;104;10001552;15
105;105;10004006;16
106;106;10002794;17
107;107;10003499;19
108;108;10002844;13
109;109;10000390;6
110;110;10000844;2
111;111;10001934;15
112;112;10000380;2
113;113;10003981;3
114;114;10000621;11
115;115;10002600;16
