ProductID,Category,SubCategory,ProductName,Sale,Cost
10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261,178
10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731,637
10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14,12
10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957,653
10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22,19
10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48,39
10002833,Office Supplies,Art,Newell 322,7,4
10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907,693
10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18,12
10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114,69
10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706,1203
10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911,729
10002365,Office Supplies,Paper,Xerox 1967,15,13
10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407,348
10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68,50
10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2,2
10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665,495
10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55,38
10003056,Office Supplies,Art,Newell 341,8,6
10001949,Technology,Phones,Cisco SPA 501G IP Phone,213,159
10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22,18
10000246,Office Supplies,Art,Newell 318,19,13
10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60,53
10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71,45
10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11,7
10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90,67
10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083,2262
10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9,8
10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124,83
10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3,2
10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86,66
10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6,4
10001683,Office Supplies,Art,Lumber Crayons,15,9
10000249,Office Supplies,Paper,Easy-staple paper,29,20
10004977,Technology,Phones,GE 30524EE4,1097,773
10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190,122
10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113,74
10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532,377
10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212,141
10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371,225
10004093,Technology,Phones,Panasonic Kx-TS550,147,120
10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77,46
10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95,78
10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45,39
10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17,13
10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211,166
10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,29
10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21,18
10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38,28
10002762,Office Supplies,Labels,Avery 485,75,51
10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6,4
10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89,59
10000304,Office Supplies,Fasteners,Advantus Push Pins,15,13
10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029,711
10000604,Office Supplies,Storage,Home/Office Personal File Carts,208,158
10001569,Office Supplies,Paper,Xerox 232,32,28
10003968,Furniture,Chairs,Novimex Turbo Task Chair,319,220
10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14,9
10001460,Office Supplies,Binders,Plastic Binding Combs,48,33
10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1,1
10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13,9
10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25,19
10003892,Office Supplies,Paper,Xerox 1943,146,98
10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79,48
10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213,155
10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113,958
10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167,127
10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75,61
10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4,3
10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19,16
10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831,600
10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97,63
10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72,56
10004182,Office Supplies,Binders,Economy Binders,1,0
10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9,6
10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27,23
10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19,14
10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208,163
10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16,10
10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14,12
10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21,14
10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200,168
