ShipmentID,order_id_FK,OrderDate,ShipDate,ShipMode,CustomerID,ProductID
1,1,8/11/2017,11/11/2017,Second Class,12520,10001798
2,2,8/11/2017,11/11/2017,Second Class,12520,10000454
3,3,12/6/2017,16/6/2017,Second Class,13045,10000240
4,4,11/10/2016,18/10/2016,Standard Class,20335,10000577
5,5,11/10/2016,18/10/2016,Standard Class,20335,10000760
6,6,9/6/2015,14/6/2015,Standard Class,11710,10001487
7,7,9/6/2015,14/6/2015,Standard Class,11710,10002833
8,8,9/6/2015,14/6/2015,Standard Class,11710,10002275
9,9,9/6/2015,14/6/2015,Standard Class,11710,10003910
10,10,9/6/2015,14/6/2015,Standard Class,11710,10002892
11,11,9/6/2015,14/6/2015,Standard Class,11710,10001539
12,12,9/6/2015,14/6/2015,Standard Class,11710,10002033
13,13,15/4/2018,20/4/2018,Standard Class,10480,10002365
14,14,5/12/2017,10/12/2017,Standard Class,15070,10003656
15,15,22/11/2016,26/11/2016,Standard Class,14815,10002311
16,16,22/11/2016,26/11/2016,Standard Class,14815,10000756
17,17,11/11/2015,18/11/2015,Standard Class,19075,10004186
18,18,13/5/2015,15/5/2015,Second Class,10270,10000107
19,19,27/8/2015,1/9/2015,Second Class,21925,10003056
20,20,27/8/2015,1/9/2015,Second Class,21925,10001949
21,21,27/8/2015,1/9/2015,Second Class,21925,10002215
22,22,9/12/2017,13/12/2017,Standard Class,16585,10000246
23,23,9/12/2017,13/12/2017,Standard Class,16585,10001492
24,24,16/7/2018,18/7/2018,Second Class,20065,10002774
25,25,25/9/2016,30/9/2016,Standard Class,13870,10000577
26,26,16/1/2017,20/1/2017,Second Class,13945,10001634
27,27,16/1/2017,20/1/2017,Second Class,13945,10003027
28,28,17/9/2016,21/9/2016,Standard Class,21520,10004834
29,29,17/9/2016,21/9/2016,Standard Class,21520,10000474
30,30,17/9/2016,21/9/2016,Standard Class,21520,10004848
31,31,17/9/2016,21/9/2016,Standard Class,21520,10001509
32,32,17/9/2016,21/9/2016,Standard Class,21520,10004042
33,33,17/9/2016,21/9/2016,Standard Class,21520,10001525
34,34,17/9/2016,21/9/2016,Standard Class,21520,10001683
35,35,19/10/2018,23/10/2018,Second Class,17560,10000249
36,36,8/12/2017,10/12/2017,First Class,14485,10004977
37,37,8/12/2017,10/12/2017,First Class,14485,10003664
38,38,27/12/2016,31/12/2016,Standard Class,20710,10002986
39,39,27/12/2016,31/12/2016,Standard Class,20710,10002545
40,40,27/12/2016,31/12/2016,Standard Class,20710,10004218
41,41,27/12/2016,31/12/2016,Standard Class,20710,10000486
42,42,10/9/2018,15/9/2018,Standard Class,16930,10004093
43,43,17/7/2017,22/7/2017,Standard Class,19885,10003479
44,44,19/9/2018,23/9/2018,Standard Class,14080,10003282
45,45,11/3/2017,13/3/2017,First Class,18715,10000171
46,46,11/3/2017,13/3/2017,First Class,18715,10003291
47,47,20/10/2015,25/10/2015,Second Class,18865,10001713
48,48,20/6/2017,25/6/2017,Standard Class,16900,10002167
49,49,20/6/2017,25/6/2017,Standard Class,16900,10003988
50,50,18/4/2016,22/4/2016,Standard Class,13000,10004410
51,51,18/4/2016,22/4/2016,Standard Class,13000,10002762
52,52,18/4/2016,22/4/2016,Standard Class,13000,10001706
53,53,18/4/2016,22/4/2016,Standard Class,13000,10003061
54,54,11/12/2017,17/12/2017,Standard Class,15265,10000304
55,55,11/12/2017,17/12/2017,Standard Class,15265,10002447
56,56,17/6/2017,18/6/2017,First Class,21055,10000604
57,57,17/6/2017,18/6/2017,First Class,21055,10001569
58,58,17/6/2017,18/6/2017,First Class,21055,10003968
59,59,17/6/2017,18/6/2017,First Class,21055,10000587
60,60,17/6/2017,18/6/2017,First Class,21055,10002167
61,61,17/6/2017,18/6/2017,First Class,21055,10001460
62,62,17/6/2017,18/6/2017,First Class,21055,10001868
63,63,24/11/2016,30/11/2016,Standard Class,16720,10004633
64,64,24/11/2016,30/11/2016,Standard Class,16720,10001078
65,65,24/11/2016,30/11/2016,Standard Class,16720,10003892
66,66,24/11/2016,30/11/2016,Standard Class,16720,10000397
67,67,30/4/2016,5/5/2016,Standard Class,18970,10001146
68,68,5/12/2015,10/12/2015,Standard Class,11590,10002671
69,69,5/12/2015,10/12/2015,Standard Class,11590,10002726
70,70,4/6/2017,6/6/2017,First Class,16270,10000482
71,71,18/9/2017,23/9/2017,Standard Class,14980,10004654
72,72,14/9/2018,17/9/2018,Second Class,21520,10004675
73,73,26/4/2016,2/5/2016,Standard Class,15745,10000513
74,74,26/4/2016,2/5/2016,Standard Class,15745,10003708
75,75,26/4/2016,2/5/2016,Standard Class,15745,10004123
76,76,9/12/2018,11/12/2018,First Class,16600,10004182
77,77,9/12/2018,11/12/2018,First Class,16600,10000260
78,78,9/12/2018,11/12/2018,First Class,16600,10000615
79,79,26/11/2015,1/12/2015,Second Class,15745,10003194
80,80,12/6/2017,15/6/2017,First Class,20770,10002118
81,81,12/6/2017,15/6/2017,First Class,20770,10002309
82,82,12/10/2015,16/10/2015,Standard Class,13690,10002053
83,83,12/10/2015,16/10/2015,Standard Class,13690,10002370
84,84,3/9/2016,8/9/2016,Standard Class,16105,10000927
85,85,13/11/2018,16/11/2018,First Class,12400,10003656
86,86,28/5/2018,30/5/2018,Second Class,18865,10000863
87,87,26/10/2018,2/11/2018,Standard Class,18895,10001998
88,88,26/10/2018,2/11/2018,Standard Class,18895,10000134
89,89,5/4/2017,10/4/2017,Second Class,14455,10003442
90,90,17/9/2017,22/9/2017,Standard Class,15685,10004930
91,91,17/9/2017,22/9/2017,Standard Class,15685,10004093
92,92,17/9/2017,22/9/2017,Standard Class,15685,10000304
